CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
785432733,"Existing Customer",42,F,4,"High School",Married,"Less than $40K",Gold,36,2,3,3,15433,0,15433,0.865,966,22,1.2,0
715190283,"Existing Customer",57,F,1,Graduate,Unknown,"$40K - $60K",Blue,49,3,3,2,3672,886,2786,1.32,1464,28,0.556,0.241
708300483,"Attrited Customer",66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882,605,7277,1.052,704,16,0.143,0.077
827111283,"Existing Customer",45,M,3,Graduate,Single,"$80K - $120K",Blue,41,2,2,2,32426,578,31848,1.042,1109,28,0.474,0.018
758551608,"Existing Customer",51,M,2,Unknown,Married,"$40K - $60K",Blue,44,4,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355
773146383,"Existing Customer",50,F,1,College,Single,"$40K - $60K",Silver,43,3,2,3,17304,2517,14787,1.449,1756,33,1.2,0.145
778493808,"Existing Customer",49,M,3,"High School",Married,"$60K - $80K",Blue,37,5,2,1,3906,0,3906,1.214,1756,32,1,0
720572508,"Existing Customer",38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830,2055,7775,0.977,1042,23,0.917,0.209
712661433,"Existing Customer",49,M,4,Uneducated,Single,"$80K - $120K",Blue,30,3,2,3,34516,0,34516,1.621,1444,28,1.333,0
789172683,"Existing Customer",56,M,2,Doctorate,Married,"$60K - $80K",Blue,45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626
738406533,"Existing Customer",59,M,1,Doctorate,Married,"$40K - $60K",Blue,52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793
799723908,"Existing Customer",46,M,3,"High School",Married,"$80K - $120K",Blue,40,4,3,3,19458,1435,18023,0.787,1217,27,0.8,0.074
771490833,"Existing Customer",52,M,1,College,Single,"$80K - $120K",Blue,40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259
720756708,"Existing Customer",52,F,3,Unknown,Married,"Less than $40K",Blue,41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591
779471883,"Attrited Customer",54,F,1,Graduate,Married,"Less than $40K",Blue,40,2,3,1,1438,808,630,0.997,705,19,0.9,0.562
711525033,"Existing Customer",66,F,0,"High School",Married,"Less than $40K",Blue,54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.687
712813458,"Existing Customer",49,M,2,Unknown,Married,"$120K +",Blue,36,4,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127
714374133,"Attrited Customer",56,M,2,Graduate,Married,"$120K +",Blue,36,1,3,3,15769,0,15769,1.041,602,15,0.364,0
717891558,"Existing Customer",49,F,4,Graduate,Unknown,"Less than $40K",Blue,36,6,4,2,3298,2200,1098,0.678,1052,32,0.6,0.667
716632758,"Existing Customer",49,F,3,Graduate,Single,"Less than $40K",Blue,36,2,2,0,2802,2363,439,0.75,1295,40,0.6,0.843
768563658,"Existing Customer",56,M,2,Uneducated,Married,"$40K - $60K",Blue,50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422
711427458,"Existing Customer",44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273,978,5295,2.275,1359,25,1.083,0.156
714091983,"Existing Customer",42,M,2,"High School",Single,"$60K - $80K",Blue,34,4,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525
787584108,"Existing Customer",55,M,3,Unknown,Married,"$80K - $120K",Blue,47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587
712030833,"Attrited Customer",48,M,2,Graduate,Married,"$60K - $80K",Silver,35,2,4,4,34516,0,34516,0.763,691,15,0.5,0
711481533,"Existing Customer",39,M,1,"High School",Divorced,"$60K - $80K",Blue,33,5,3,3,5926,1251,4675,0.944,1316,28,1.154,0.211
710082708,"Existing Customer",44,M,4,Post-Graduate,Single,"$120K +",Blue,32,2,4,2,23957,2102,21855,0.997,1276,26,0.733,0.088
708155733,"Existing Customer",53,M,2,"High School",Single,"$120K +",Blue,44,4,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111
788979258,"Existing Customer",51,M,4,Uneducated,Single,"$80K - $120K",Silver,38,4,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044
807986133,"Existing Customer",57,M,2,College,Married,"$60K - $80K",Blue,52,5,3,3,6584,1817,4767,0.62,1353,35,0.667,0.276
788730933,"Existing Customer",44,F,2,Uneducated,Single,"Less than $40K",Blue,20,6,3,3,2084,1468,616,1.004,1132,28,0.556,0.704
711314058,"Existing Customer",49,M,2,Graduate,Married,"$60K - $80K",Blue,32,2,2,2,1687,1107,580,1.715,1670,17,2.4,0.656
717975333,"Existing Customer",50,M,2,Doctorate,Married,"$80K - $120K",Blue,38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053
715971108,"Existing Customer",51,M,4,Graduate,Single,"$120K +",Blue,42,3,2,3,34516,1763,32753,1.266,1550,41,1.05,0.051
720096558,"Existing Customer",55,F,2,Graduate,Married,"Less than $40K",Blue,42,5,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467
719580033,"Existing Customer",54,M,1,Graduate,Unknown,"$60K - $80K",Blue,43,4,2,3,2910,2030,880,0.769,1256,21,0.4,0.698
820582308,"Existing Customer",42,M,5,Uneducated,Married,"$80K - $120K",Blue,37,6,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067
789973308,"Existing Customer",44,M,1,College,Single,"$60K - $80K",Blue,35,3,3,3,24312,1932,22380,1.312,1341,24,1.182,0.079
712876233,"Existing Customer",53,M,2,Graduate,Single,"$80K - $120K",Blue,36,5,3,2,5272,1515,3757,0.857,1289,33,0.435,0.287
804595158,"Existing Customer",44,F,4,Graduate,Single,"Less than $40K",Blue,36,6,4,2,7000,2517,4483,0.475,1112,23,1.875,0.36
714826758,"Existing Customer",37,F,3,Uneducated,Single,"Less than $40K",Blue,29,4,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256
779058108,"Existing Customer",49,M,3,Graduate,Divorced,"$60K - $80K",Blue,30,6,1,2,2536,1823,713,0.703,1468,23,0.353,0.719
710790258,"Existing Customer",47,M,2,Graduate,Married,"$80K - $120K",Blue,38,6,3,2,28904,1899,27005,0.85,1334,35,0.4,0.066
715623483,"Existing Customer",47,M,3,Graduate,Married,"$60K - $80K",Blue,37,4,4,0,8567,1695,6872,1.242,1457,41,1.412,0.198
715156383,"Existing Customer",44,M,1,Unknown,Unknown,"$120K +",Blue,36,6,2,2,34516,1533,32983,0.924,1603,29,0.526,0.044
711013983,"Attrited Customer",55,F,4,Unknown,Married,"$40K - $60K",Blue,45,2,4,3,2158,0,2158,0.585,615,12,0.714,0
755420433,"Existing Customer",59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133,1417,8716,0.383,1068,20,0.818,0.14
794543958,"Existing Customer",53,M,1,Graduate,Divorced,"$80K - $120K",Blue,35,5,4,2,34516,1219,33297,1.129,1590,27,2,0.035
716396358,"Existing Customer",52,M,2,Graduate,Married,"$60K - $80K",Blue,47,5,3,0,3085,1910,1175,0.921,1531,35,0.667,0.619
715398033,"Existing Customer",53,M,2,"High School",Single,"$120K +",Blue,35,4,2,1,19040,2056,16984,0.607,1212,31,0.722,0.108
711743883,"Existing Customer",43,F,3,Uneducated,Single,"Less than $40K",Blue,35,5,2,3,4026,0,4026,0.483,1237,32,0.6,0
719720058,"Existing Customer",44,M,3,"High School",Single,"$60K - $80K",Blue,31,4,3,1,12756,837,11919,1.932,1413,14,1.8,0.066
778992108,"Existing Customer",57,M,2,Unknown,Married,"$120K +",Blue,45,5,3,3,5266,0,5266,1.702,1516,29,1.636,0
717539808,"Existing Customer",51,F,2,"High School",Single,"Less than $40K",Blue,36,3,2,2,9930,0,9930,0.731,1276,21,1.333,0
714070758,"Existing Customer",49,M,4,"High School",Single,"$80K - $120K",Blue,38,4,3,0,31302,1953,29349,0.875,1564,35,2.182,0.062
714107958,"Existing Customer",45,M,1,Graduate,Single,"$40K - $60K",Blue,36,4,4,3,6576,0,6576,0.579,1465,34,0.619,0
789140283,"Existing Customer",53,M,0,Graduate,Single,"$80K - $120K",Blue,42,5,4,1,2664,2037,627,0.85,1286,29,0.933,0.765
715550508,"Existing Customer",45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535,2440,95,1.705,1312,20,1.222,0.963
719712633,"Existing Customer",64,M,1,Graduate,Married,"Less than $40K",Blue,52,6,4,3,1709,895,814,1.656,1673,32,0.882,0.524
772629333,"Existing Customer",45,M,3,Graduate,Married,"$40K - $60K",Blue,35,5,4,2,3454,1200,2254,0.597,1313,30,0.304,0.347
720336708,"Existing Customer",53,M,3,Doctorate,Married,"$40K - $60K",Blue,35,5,3,2,3789,1706,2083,1.047,1609,42,0.68,0.45
802013583,"Existing Customer",56,M,3,College,Married,"$120K +",Blue,50,3,2,0,9689,2250,7439,0.576,1158,19,0.727,0.232
711887583,"Attrited Customer",47,M,2,Unknown,Married,"$80K - $120K",Blue,37,2,3,3,5449,1628,3821,0.696,836,18,0.385,0.299
714778833,"Existing Customer",49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032,1960,21072,0.619,1289,22,1,0.085
713843283,"Existing Customer",41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516,2053,32463,1.034,1487,26,0.733,0.059
779155158,"Existing Customer",53,M,3,Graduate,Married,"$120K +",Blue,34,6,2,2,2940,1264,1676,0.562,1259,33,0.5,0.43
721091583,"Existing Customer",44,F,2,Graduate,Single,"Less than $40K",Blue,32,3,3,3,3031,1879,1152,0.788,1298,15,1.5,0.62
713572683,"Existing Customer",44,M,3,"High School",Unknown,"$60K - $80K",Blue,25,3,3,0,1862,0,1862,0.883,1226,34,0.789,0
716657058,"Existing Customer",43,F,4,Post-Graduate,Married,"Less than $40K",Blue,33,2,3,3,8358,926,7432,0.762,1566,37,0.542,0.111
779509983,"Existing Customer",53,M,2,Post-Graduate,Single,"$120K +",Blue,36,6,1,2,34516,931,33585,0.828,1022,21,1.1,0.027
717929133,"Existing Customer",44,M,1,Uneducated,Married,"$60K - $80K",Blue,36,5,2,3,14450,2440,12010,1.283,1235,30,0.667,0.169
808284783,"Existing Customer",62,F,1,Unknown,Married,"Less than $40K",Blue,56,6,0,0,1438,0,1438,0.813,1951,44,1.095,0
708476808,"Existing Customer",54,M,4,Unknown,Divorced,"$120K +",Blue,36,6,3,2,33791,1960,31831,0.618,1047,31,0.824,0.058
710916408,"Existing Customer",57,M,4,Graduate,Married,"$60K - $80K",Blue,39,4,3,0,8466,1886,6580,0.56,1342,32,0.391,0.223
708492558,"Existing Customer",42,M,3,Unknown,Married,"$60K - $80K",Blue,36,5,3,3,15088,865,14223,0.939,1107,21,1.625,0.057
799825758,"Existing Customer",42,M,4,"High School",Divorced,"$60K - $80K",Blue,36,5,1,2,3263,1674,1589,0.588,1251,35,0.346,0.513
718619883,"Existing Customer",54,F,0,Uneducated,Married,"Less than $40K",Blue,36,2,2,2,1494,706,788,1.674,1305,24,3,0.473
711844758,"Existing Customer",48,M,3,Graduate,Single,"$80K - $120K",Blue,35,6,1,0,13551,1294,12257,0.791,1388,37,1.056,0.095
714798783,"Existing Customer",49,M,1,Graduate,Single,"$80K - $120K",Blue,36,6,2,2,18886,895,17991,1.826,1235,18,1.571,0.047
826762908,"Existing Customer",52,M,3,"High School",Unknown,"$80K - $120K",Blue,48,3,2,0,11976,1273,10703,1.024,2089,36,1.118,0.106
771894558,"Existing Customer",50,M,3,"High School",Single,"$80K - $120K",Blue,39,4,1,4,9964,1559,8405,1.873,1626,25,0.786,0.156
721074183,"Existing Customer",49,M,1,Doctorate,Married,"$60K - $80K",Blue,36,4,6,3,24159,1196,22963,0.712,1111,24,1,0.05
715259583,"Existing Customer",53,F,2,"High School",Married,"Less than $40K",Blue,44,3,2,3,5362,1901,3461,0.816,1553,38,1,0.355
718414008,"Existing Customer",50,M,2,Graduate,Single,"$120K +",Blue,36,3,2,2,34516,1023,33493,1.004,1064,13,0.625,0.03
719666283,"Existing Customer",55,F,1,Doctorate,Married,"Less than $40K",Blue,36,4,1,0,3174,1951,1223,0.766,1243,29,0.611,0.615
714877233,"Existing Customer",53,M,1,"High School",Married,"$80K - $120K",Blue,47,3,2,2,12262,1836,10426,1.584,1659,38,1.533,0.15
785387883,"Existing Customer",47,F,3,"High School",Single,"$40K - $60K",Blue,41,4,3,3,3788,1540,2248,0.566,1594,47,0.382,0.407
771075258,"Existing Customer",55,M,2,College,Single,"$120K +",Silver,42,2,3,2,34516,1527,32989,0.526,1268,42,0.355,0.044
711318033,"Existing Customer",47,M,3,Graduate,Single,"$60K - $80K",Blue,36,4,2,2,2926,0,2926,0.676,1304,24,0.846,0
783554958,"Existing Customer",58,M,4,Graduate,Single,"$120K +",Blue,52,6,1,0,32090,0,32090,0.567,1368,30,0.364,0
720201033,"Attrited Customer",53,M,2,Graduate,Married,"$80K - $120K",Blue,41,3,3,2,11669,2227,9442,0.622,720,23,0.353,0.191
718039683,"Existing Customer",52,M,2,"High School",Single,"$40K - $60K",Blue,45,3,1,2,13532,1300,12232,0.846,1521,29,1.417,0.096
710806083,"Existing Customer",50,F,1,Uneducated,Unknown,"Less than $40K",Silver,36,4,2,2,11888,2090,9798,0.7,1137,30,0.765,0.176
714752208,"Existing Customer",42,F,1,Graduate,Married,"Less than $40K",Blue,36,5,1,2,2393,1985,408,0.788,978,16,0.778,0.83
822063408,"Existing Customer",43,M,4,Unknown,Married,"$40K - $60K",Blue,39,5,1,2,6111,2517,3594,0.632,1221,16,2.2,0.412
714490308,"Existing Customer",57,M,4,Graduate,Married,"$80K - $120K",Blue,46,3,2,3,19270,1662,17608,1.186,1565,28,1.545,0.086
713356833,"Existing Customer",52,M,1,Graduate,Married,"$80K - $120K",Blue,43,3,1,4,3710,2517,1193,1.541,1578,34,0.7,0.678
711402333,"Existing Customer",47,M,2,Doctorate,Single,"Less than $40K",Blue,37,2,1,3,3235,797,2438,0.541,1493,32,1,0.246
708296883,"Existing Customer",44,F,3,Graduate,Single,"$40K - $60K",Blue,38,3,1,0,11749,788,10961,0.688,1178,27,0.929,0.067
719154483,"Existing Customer",53,M,2,"High School",Divorced,"$60K - $80K",Blue,36,5,3,2,7753,2100,5653,0.839,991,26,0.733,0.271
717721458,"Existing Customer",45,M,4,College,Divorced,"$60K - $80K",Blue,40,5,1,0,10408,1186,9222,1.689,2560,42,1.211,0.114
711112683,"Existing Customer",63,F,1,College,Married,Unknown,Blue,36,6,2,3,3967,1568,2399,1.236,1657,29,1.231,0.395
715674483,"Existing Customer",39,F,2,Post-Graduate,Single,"Less than $40K",Blue,27,4,2,2,6205,2517,3688,0.939,1204,19,0.727,0.406
789322833,"Attrited Customer",48,F,5,"High School",Married,"Less than $40K",Blue,38,1,3,3,8025,0,8025,0.654,673,18,0.8,0
789968058,"Existing Customer",51,M,1,Unknown,Single,"$120K +",Blue,42,6,2,3,9036,2327,6709,0.649,1131,18,0.636,0.258
709919283,"Existing Customer",54,M,4,Graduate,Married,"$80K - $120K",Blue,34,2,3,2,14926,2517,12409,1.996,1576,25,1.5,0.169
718744008,"Existing Customer",59,F,1,Graduate,Single,"Less than $40K",Blue,36,3,2,3,6335,1128,5207,0.397,1217,20,0.667,0.178
767712558,"Attrited Customer",59,M,1,College,Single,"$60K - $80K",Blue,53,2,3,3,14979,0,14979,0.71,530,10,1,0
712950783,"Attrited Customer",48,F,4,Uneducated,Married,"Less than $40K",Blue,38,3,2,3,2732,0,2732,0.76,739,16,0.455,0
716104983,"Existing Customer",41,F,2,Graduate,Single,"Less than $40K",Blue,32,6,3,2,2250,2117,133,1.162,1617,31,2.875,0.941
818839983,"Existing Customer",55,M,2,Graduate,Married,"$120K +",Blue,50,3,2,0,10916,1536,9380,1.317,1592,34,1,0.141
772288758,"Existing Customer",47,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,5349,1228,4121,0.728,1343,30,1.308,0.23
712350858,"Existing Customer",41,M,2,"High School",Married,"$80K - $120K",Blue,24,4,1,3,9366,1104,8262,0.572,1303,39,0.625,0.118
711009708,"Existing Customer",40,M,3,"High School",Single,"$80K - $120K",Blue,28,5,1,0,21617,0,21617,1.047,1351,22,0.467,0
712720158,"Existing Customer",68,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860,1652,12208,1.255,1910,32,1.909,0.119
712215258,"Existing Customer",50,F,1,Graduate,Single,"$40K - $60K",Silver,31,2,2,3,18386,0,18386,0.868,1298,22,0.571,0
773827008,"Existing Customer",47,M,4,Uneducated,Single,"$60K - $80K",Blue,41,6,2,2,2405,1540,865,0.469,1087,29,1.231,0.64
795232683,"Existing Customer",53,F,1,College,Married,"Less than $40K",Blue,47,4,2,3,2154,930,1224,2.121,1439,26,1.364,0.432
713786508,"Existing Customer",42,F,5,Unknown,Married,"$40K - $60K",Blue,36,3,3,3,2038,0,2038,0.786,1238,28,0.75,0
713539833,"Existing Customer",48,F,4,"High School",Single,"$40K - $60K",Blue,38,6,1,3,8135,0,8135,1.373,1716,29,0.812,0
712454058,"Existing Customer",49,M,1,Doctorate,Married,"$120K +",Blue,38,6,1,3,9364,618,8746,0.554,1099,27,0.8,0.066
718759833,"Existing Customer",44,F,2,Uneducated,Married,Unknown,Silver,35,4,3,2,32643,0,32643,1.3,1058,24,2.429,0
718803333,"Existing Customer",43,F,4,Graduate,Divorced,"Less than $40K",Blue,34,2,3,1,3195,1954,1241,0.971,1285,29,0.706,0.612
720253908,"Existing Customer",56,M,0,"High School",Married,"$80K - $120K",Blue,43,5,2,1,2852,1024,1828,1.009,1651,28,1,0.359
714133158,"Existing Customer",59,F,1,College,Single,Unknown,Blue,36,2,3,3,4224,1305,2919,0.852,1152,31,0.824,0.309
713187033,"Existing Customer",46,M,1,Uneducated,Married,"$60K - $80K",Blue,36,3,2,2,20459,2071,18388,1.248,1767,38,2.167,0.101
714791208,"Existing Customer",47,F,4,Unknown,Divorced,"Less than $40K",Blue,41,6,5,3,3482,2114,1368,0.508,1039,24,0.263,0.607
772426383,"Existing Customer",50,F,4,Uneducated,Married,"$40K - $60K",Blue,40,5,2,3,3065,1570,1495,1.077,1130,28,1.333,0.512
710975883,"Existing Customer",51,F,3,Uneducated,Married,"Less than $40K",Blue,43,3,1,2,2185,1761,424,0.682,1645,30,0.429,0.806
714264408,"Existing Customer",47,F,3,Uneducated,Married,"Less than $40K",Blue,36,4,1,0,1611,746,865,0.993,1413,29,0.706,0.463
715827858,"Existing Customer",58,F,4,Uneducated,Married,"Less than $40K",Blue,47,3,3,3,2822,2173,649,1.456,1218,23,2.286,0.77
713741358,"Attrited Customer",46,M,5,Graduate,Single,"$80K - $120K",Blue,33,6,3,3,32975,2517,30458,0.658,597,17,0.7,0.076
709531908,"Existing Customer",53,M,3,"High School",Married,"$60K - $80K",Blue,47,5,2,2,1438,0,1438,0.776,2184,53,0.828,0
716493408,"Existing Customer",45,F,4,Uneducated,Divorced,Unknown,Blue,36,4,3,3,15875,1719,14156,0.86,1592,37,1.467,0.108
714141108,"Existing Customer",52,F,1,"High School",Married,"Less than $40K",Blue,45,6,3,3,6703,893,5810,0.567,1388,28,0.75,0.133
708953883,"Attrited Customer",53,M,2,Unknown,Married,"$80K - $120K",Blue,36,2,2,1,3212,0,3212,0.713,757,20,0.25,0
712608783,"Existing Customer",50,M,2,"High School",Married,"$80K - $120K",Silver,45,3,1,3,34516,1260,33256,0.588,1504,34,0.789,0.037
820353558,"Existing Customer",41,F,3,"High School",Married,"$40K - $60K",Blue,36,4,1,2,9797,1434,8363,0.644,1503,34,0.478,0.146
714964758,"Existing Customer",45,F,5,Graduate,Divorced,"$40K - $60K",Blue,36,5,2,2,10400,1777,8623,0.791,1105,28,0.867,0.171
716264358,"Existing Customer",53,M,3,Uneducated,Married,"$80K - $120K",Blue,42,2,1,2,26792,1836,24956,1.432,2398,47,0.88,0.069
717296808,"Existing Customer",67,F,1,Graduate,Married,"Less than $40K",Blue,56,4,3,2,3006,2517,489,2.053,1661,32,1,0.837
712977183,"Existing Customer",57,F,2,Uneducated,Single,"$40K - $60K",Silver,36,6,3,0,19482,1072,18410,0.706,1421,22,1.444,0.055
710829108,"Existing Customer",59,F,1,Uneducated,Married,"$40K - $60K",Blue,36,4,2,3,3356,985,2371,0.35,999,28,0.556,0.294
779562633,"Existing Customer",45,M,2,Uneducated,Married,"$40K - $60K",Blue,34,3,2,1,5771,2248,3523,1.791,1387,18,0.8,0.39
715315833,"Existing Customer",51,M,3,Graduate,Married,"$80K - $120K",Blue,36,6,2,3,11106,2107,8999,0.948,1243,24,1,0.19
815500983,"Existing Customer",59,F,1,Uneducated,Married,"Less than $40K",Blue,54,5,3,0,2890,2001,889,1.334,1860,36,1,0.692
719360583,"Existing Customer",53,M,1,Graduate,Married,"$60K - $80K",Blue,45,6,2,2,3380,1701,1679,0.747,1502,25,1.273,0.503
709701558,"Existing Customer",47,M,3,Graduate,Married,"$60K - $80K",Blue,36,2,1,2,21331,1251,20080,0.949,1460,50,1.083,0.059
721148358,"Existing Customer",49,F,3,Uneducated,Single,Unknown,Blue,38,6,2,1,12860,0,12860,0.646,1348,27,0.286,0
779862408,"Existing Customer",49,M,3,Post-Graduate,Single,"$80K - $120K",Blue,33,3,1,0,6278,462,5816,1.161,1087,33,0.941,0.074
812627208,"Existing Customer",60,F,0,College,Single,"Less than $40K",Blue,55,5,1,3,1438,738,700,0.782,1226,33,0.571,0.513
711033408,"Existing Customer",50,F,2,"High School",Married,"Less than $40K",Blue,36,5,1,2,9355,1626,7729,0.701,1230,28,0.867,0.174
779956608,"Existing Customer",41,F,2,Post-Graduate,Married,Unknown,Blue,31,6,1,3,20758,0,20758,0.688,1555,32,0.684,0
